# BEAST v1.6.1, Build r3651
# Generated Tue Jul 07 15:42:21 GMT-03:00 2015 [seed=1436294503850]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(mrca1)	tmrca(mrca2)	tmrca(mrca3)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	gene1.ac	gene1.ag	gene1.at	gene1.cg	gene1.gt	gene1.frequencies1	gene1.frequencies2	gene1.frequencies3	gene1.frequencies4	gene1.alpha	gene2.ac	gene2.ag	gene2.at	gene2.cg	gene2.gt	gene2.frequencies1	gene2.frequencies2	gene2.frequencies3	gene2.frequencies4	gene2.alpha	gene1.ucld.mean	gene1.ucld.stdev	gene2.ucld.mean	gene2.ucld.stdev	gene1.meanRate	gene1.coefficientOfVariation	gene1.covariance	gene2.meanRate	gene2.coefficientOfVariation	gene2.covariance	gene1.treeLikelihood	gene2.treeLikelihood	speciation
0	-12800.191448074529	-819.2187557971309	-11980.972692277399	313.6029660433291	84.02404881430321	252.43885134075938	25.0	0.5	0.1	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	1.0	0.3333333333333333	1.0825846926847575	0.33428878458329503	0.7300967644748292	1.0825846926847575	0.33428878458329503	0.7300967644748292	-5975.356292670433	-6005.616399606965	-607.946952335713
10000	-5961.552169718681	-103.041048362516	-5858.511121356165	133.89128486039164	124.36485089404592	16.22692098331408	11.578097327218636	0.013961183176069859	0.7647393825087613	0.8300662219758622	1.1873419558525105	1.2070201414450055	1.4167840572097727	1.2897695512096168	0.24997663961571587	0.24707264822080643	0.2564503686349785	0.24650034352849917	0.7062413587008881	0.7339407537266731	1.0290715386738536	1.681731539699369	1.2914857715535129	1.3546310249600855	0.2500000001	0.2507795853174265	0.23350380833405962	0.2657166062485139	0.6398926984151465	0.03610554253889837	1.5923144974613344	0.13342775205460441	1.8470890253019205	0.003333544541758385	1.2117201321832447	-0.17829667672571112	0.004560828634198864	1.0565752379850548	-0.24635530916568613	-2841.8601706683703	-3016.6509506877946	-40.897253107469346
20000	-5938.464567434423	-104.65404624062083	-5833.810521193802	158.17302680594665	81.97315971964605	21.634202893547084	11.88340438010188	0.0010077413897636245	0.9676227605854946	0.8493863597283436	1.9439658707432363	1.4363127580973025	1.9256300323313322	0.9754673637465903	0.25186821708728024	0.25498529772955386	0.25632219733893935	0.23682428784422652	0.673647218509937	0.7238460310037675	1.6706544842389448	2.192464983357522	1.299972115151926	1.377456073356696	0.2515069278465254	0.25446887795430734	0.22544696847816578	0.2685772257210015	0.8382430500768884	0.034049228269847506	1.5160099176724515	0.027867983920883462	1.4879205493549326	0.003632403234717583	0.8782596020403619	-0.19411738686953678	0.0044370470448870155	0.7177285360313642	-0.2433534518534146	-2823.6100755558864	-3010.200445637916	-41.80747107709903
30000	-5932.981963116302	-108.56836734668747	-5824.413595769614	125.07973068326233	93.48188513482152	30.48918239535189	25.712264644832256	0.0032216198031985678	0.94598644739616	0.6943722220336571	1.7349299875630797	1.510236338805448	2.3626608251812233	1.1105402847485548	0.24614503818798544	0.2565994193197976	0.26043125464799044	0.23682428784422652	0.9939093928606639	1.1592106120911574	1.456453058024634	2.0959725163172607	1.243981321648111	1.610588163520849	0.25784650237936463	0.2544153357657573	0.21842834237694134	0.26930981947793675	0.909920951134702	0.01823907552506052	1.5306431559443046	0.013658638535161471	1.7746322654118645	0.0035097343610896396	1.3241499581043221	-0.18145138522586007	0.0034869656122303535	1.3884549998053832	-0.16877452274735358	-2813.534200236356	-3010.879395533259	-43.781968076415126
40000	-5941.752179427197	-104.65684722006242	-5837.095332207135	118.16434753647756	82.29491387221925	23.239951448489794	17.200312907330673	0.009751859163632597	0.6123575681800517	0.6269693156757907	2.18012892071473	1.825812058909344	2.843024354551546	1.2873692342575553	0.2223071082040908	0.27176046309136664	0.2711884558398556	0.23474397286468685	1.1473934245240998	0.9885219546364828	1.8296035300631128	1.825100522220263	1.57587714093944	1.7608077972933411	0.25784650237936463	0.2450945647995456	0.22774911334315304	0.26930981947793675	0.6153525695772857	0.020173228400208316	1.3707983623783826	0.005586392569408284	0.593268294076088	0.003648949855049902	0.7112154878996475	-0.14311826737073122	0.004388476481572737	0.5479349911795504	-0.08033619442228856	-2821.2646623847827	-3015.830669822352	-42.54666256056263
50000	-5921.773307156247	-109.68780351403791	-5812.085503642209	145.05285462923433	117.02112641507998	85.9678845104027	33.544622990576556	0.001627814177127108	0.9141047195546348	1.1046920921562362	2.7351668639611084	2.302348403391595	3.264009394804481	1.6645751118410814	0.2223071082040908	0.2683250444293984	0.2898045571194474	0.21956329024706328	0.837549274192106	0.9243449658934056	1.4066451451959647	1.825100522220263	1.8342288143723056	1.8277025763543921	0.25309293239785935	0.2577883378208164	0.2155371503546378	0.27358157942668654	0.8844775615925097	0.003812342322083079	0.46810806741836175	0.0040559914879281485	0.374997406260838	0.0026900163243268253	0.24224270766667383	0.3144421145010912	0.0035023300573903764	0.28122448965632824	-0.26170507440056134	-2803.354809855775	-3008.730693786434	-46.78549578862314
60000	-5911.996329662518	-108.42405627036067	-5803.5722733921575	140.54715533906608	120.1418873464109	93.01293261113723	35.27507535310541	0.008998686037617509	0.7747899658540782	0.8677966322913888	2.003696434024506	1.9930419809592972	2.860266592869504	1.5847654526837336	0.2223071082040908	0.27171007800581776	0.29489715777872505	0.2110856560113663	0.9043285265586223	1.1365877168404772	1.7473161464655889	2.3701985705948645	1.9454916235261124	1.696027544842746	0.26929047683815005	0.24255307464376125	0.21457486909140225	0.27358157942668654	0.8447403568402062	0.002391142388626776	0.17181893473670654	0.0025562422300942716	0.08214117191825601	0.002494555368958783	0.18439025097893702	-0.04577239242303839	0.002570628342879896	0.07151595682648455	0.024979714912374173	-2803.254263546109	-3000.3180098460484	-47.23110485687665
70000	-5910.009573889121	-111.40160968460039	-5798.607964204521	119.55864661802696	107.41016439842284	68.56434446215485	30.157171375045092	0.021914965939552018	0.16806725892186614	1.0210988902364466	3.5076294186357133	3.22427976586418	3.818170293583974	2.5156364714270616	0.22960890874404075	0.2852840795183649	0.2838429670202296	0.20126404471736473	0.63569316120316	1.3515428410788388	2.0637400286967362	2.3638978195259326	1.842857450874398	1.9237315861600373	0.2670296263260505	0.2448139251558608	0.22361495525787883	0.2645414932602099	0.9288708481076803	0.0038547208299882342	0.4854491113255967	0.003001279041951158	0.16840223265765736	0.003201946090464677	0.47443552613667955	-0.03240769266899548	0.0029992997653802843	0.14863163001079877	0.07078079312361929	-2795.2967435542714	-3003.3112206502497	-45.85657754825357
80000	-5918.2472304705625	-111.80756303632563	-5806.439667434237	135.8480824077913	119.75892882490578	76.12500978356215	33.59041996908427	0.012704288593197539	0.1412799807771748	1.780576561542265	2.5320623311605712	2.7263978914775024	4.166732164135919	2.3637676173351445	0.24302647963773527	0.2693585873182859	0.2884131423542532	0.19920179068972552	1.2574019089813437	1.1858024048440177	2.3406408468175535	2.6427978680709803	1.8119208215324785	1.638267217196202	0.27295511635059644	0.24706201131448932	0.21303674075262846	0.26694613158228586	0.9612995278724608	0.0024116196819971105	0.5329375768275519	0.0026518966504841665	0.37875466313035105	0.002455340238479927	0.4853464813846901	0.13483726366025506	0.0028953575281958108	0.3156801633266609	-0.3883105491933335	-2804.525358043119	-3001.914309391118	-46.678563133835134
90000	-5904.334177629549	-110.34573920160146	-5793.988438427948	123.88283469869697	105.69955098125462	67.93309406463284	22.123177526199314	0.02113479146819236	0.1321276018669954	1.5781149430773704	3.59596457364166	3.105295099667155	4.7101598371338405	2.3687714040555923	0.25944287579395775	0.273188260539447	0.2857593276799604	0.1816095359866347	0.691725291313517	1.018803445005971	1.5686269281660812	1.878583207883604	1.9203253103552584	1.9711323456171195	0.2847268554369358	0.22346456085352573	0.2144251049170425	0.2773834787924961	0.8071970177808997	0.004098267386371145	0.5354262534218625	0.00394758913813568	0.21456416953807575	0.003920768172753508	0.3890491634605706	-0.04196616953682568	0.0036644736153702328	0.21740807317669217	0.038911404618571156	-2798.715662030142	-2995.2727763978055	-45.50637348844836
100000	-5904.990372144713	-110.765195825219	-5794.225176319494	127.24094857155436	114.68311495064826	63.49582827717441	24.445690535441514	0.006088367599780737	0.6117656872069419	1.4060255624854257	3.8547060215784	3.582265955318736	6.13088485438236	3.2430012906805423	0.26098076214048616	0.26042535736070327	0.2857593276799604	0.19283455281885006	0.723891204288353	1.1238351932828348	1.781775814605249	1.934486838948744	1.8958783582129715	1.9197917223553644	0.291931574275284	0.2292304337698934	0.20401508921920045	0.2748229027356223	0.9750711446318582	0.004252254826163083	0.43568833542397795	0.0032658445669816725	0.06624076888107892	0.003544346811884452	0.3382188917550444	0.050743642063187655	0.003318512352727587	0.04605050105912477	-0.37220024676805535	-2795.908404268664	-2998.3167720508295	-45.961695557297816
110000	-5908.069713366453	-111.11262662368645	-5796.9570867427665	122.6654376448068	106.41417972255744	63.78257541587672	29.150533051418158	0.012264750103251891	0.2556221681412479	1.1183508457238127	4.32433303967736	3.6033896517893	7.124410126658087	3.048330792019089	0.25853623475358845	0.27423587646708913	0.27727850167736035	0.18994938710196194	0.7483023161538109	1.0109977598950393	1.5200501948687022	2.0365622029277723	1.8642570235208054	1.8262579685877185	0.291931574275284	0.24150847630823064	0.19923931557432728	0.26732063384215826	1.0308856852355701	0.0028851645407981267	0.5943434257602557	0.0032719807990808356	0.03319022446361384	0.003526911359450085	0.5105119194995207	0.1837656636568802	0.0032266811360905402	0.031714764140510936	-0.12153987762740681	-2793.289554070161	-3003.667532672606	-45.73836600118521
